                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.8597,                 4.0995,                 4.1742,                 0.0011,                0.11754,                0.00105,                0.00031,                 3.6314,                 4.0208,                 4.0261,               0.070857,              0.0032381,              0.0032381
                      1,                 3.7307,                 3.9302,                 4.0185,                0.00124,                 0.1328,                0.00106,                0.00028,                 3.5776,                 3.9834,                 3.9249,               0.040792,              0.0065064,              0.0065064
                      2,                 3.7357,                 3.8428,                 3.8901,                0.00147,                0.15732,                0.00149,                0.00038,                 3.5431,                 3.9293,                 3.8409,               0.010661,              0.0097086,              0.0097086
                      3,                 3.4972,                 3.9432,                 3.6143,                0.50252,                0.02909,                0.00275,                0.00087,                 3.7516,                 22.147,                 6.8537,               0.009703,               0.009703,               0.009703
                      4,                 3.3574,                 3.6769,                 3.5227,                0.00861,                0.06981,                0.00556,                0.00138,                 3.6118,                 78.143,                 8.7696,               0.009703,               0.009703,               0.009703
                      5,                 3.0964,                 3.5598,                 3.3355,                0.05137,                0.19373,                0.02358,                0.00862,                 3.0476,                 14.868,                 4.1678,               0.009604,               0.009604,               0.009604
                      6,                 2.8977,                 3.5017,                   3.16,                0.01448,                0.24275,                0.00851,                0.00405,                 2.9733,                  39.27,                 3.8005,               0.009505,               0.009505,               0.009505
                      7,                 2.7608,                 3.4413,                 3.0079,                0.07565,                0.04907,                0.02261,                0.00739,                 2.6467,                 3.9374,                 3.0355,               0.009406,               0.009406,               0.009406
                      8,                 2.6921,                 3.3407,                 2.9022,                 0.0606,                0.07209,                0.02424,                 0.0095,                 2.5173,                 4.1466,                 2.8632,               0.009307,               0.009307,               0.009307
                      9,                 2.6017,                 3.2849,                 2.7883,                0.05117,                0.12438,                0.03854,                0.01727,                 2.4233,                 4.3315,                 2.8133,               0.009208,               0.009208,               0.009208
                     10,                 2.5002,                 3.1892,                 2.6564,                0.10752,                0.15506,                0.06068,                0.02678,                 2.2938,                 4.1879,                  2.693,               0.009109,               0.009109,               0.009109
                     11,                 2.4667,                 3.1786,                 2.6725,                0.69224,                0.16478,                0.13048,                0.05805,                 2.1953,                 3.2254,                 2.5692,                0.00901,                0.00901,                0.00901
                     12,                 2.3075,                 2.9978,                 2.5432,                0.10034,                0.18689,                0.06939,                0.03004,                 2.3631,                 3.5355,                 2.6899,               0.008911,               0.008911,               0.008911
                     13,                 2.3181,                  2.965,                 2.5215,                0.17286,                0.20453,                0.09632,                0.04392,                 2.0571,                  3.433,                 2.4393,               0.008812,               0.008812,               0.008812
                     14,                 2.2848,                  3.073,                 2.3929,                0.21415,                0.26546,                0.13582,                0.06338,                 2.0048,                 2.9783,                 2.3489,               0.008713,               0.008713,               0.008713
                     15,                 2.2277,                 2.8833,                 2.3737,                0.25418,                0.30214,                0.18011,                0.08524,                  1.986,                 2.8129,                 2.3166,               0.008614,               0.008614,               0.008614
                     16,                 2.1732,                 2.8182,                 2.3372,                0.18728,                0.20154,                0.12804,                0.06549,                 2.0705,                 3.0097,                 2.3879,               0.008515,               0.008515,               0.008515
                     17,                 2.1404,                 2.7999,                 2.3118,                0.20211,                 0.2144,                0.12627,                0.06588,                 1.9922,                  3.042,                 2.3365,               0.008416,               0.008416,               0.008416
                     18,                 2.0936,                 2.6729,                 2.2163,                0.25544,                0.30791,                0.20091,                0.11023,                 1.9361,                 2.8392,                 2.2929,               0.008317,               0.008317,               0.008317
                     19,                 2.0883,                 2.7784,                 2.2767,                0.31166,                0.31659,                0.21602,                0.11436,                 1.8824,                 2.6571,                 2.2183,               0.008218,               0.008218,               0.008218
                     20,                 2.0562,                 2.6986,                 2.2566,                0.32327,                0.29768,                0.21844,                0.12204,                 1.8522,                 2.6286,                 2.2109,               0.008119,               0.008119,               0.008119
                     21,                 2.0213,                 2.5803,                 2.2035,                0.30633,                0.32787,                0.23535,                0.13113,                 1.7902,                 2.5211,                 2.1511,                0.00802,                0.00802,                0.00802
                     22,                 1.9675,                 2.5187,                 2.1383,                0.30135,                 0.3502,                0.22854,                0.12708,                  1.755,                 2.5212,                 2.0871,               0.007921,               0.007921,               0.007921
                     23,                 1.9832,                 2.5165,                 2.1042,                0.34393,                0.35144,                0.29204,                0.16419,                 1.7454,                 2.3646,                 2.0773,               0.007822,               0.007822,               0.007822
                     24,                 1.9235,                 2.5209,                 2.1324,                 0.2673,                 0.3762,                0.20979,                0.10841,                 1.7474,                 2.4658,                  2.082,               0.007723,               0.007723,               0.007723
                     25,                 1.8563,                 2.3359,                 2.0091,                0.36781,                0.36073,                0.27369,                0.15207,                 1.6908,                 2.4322,                 2.0423,               0.007624,               0.007624,               0.007624
                     26,                 1.8681,                  2.438,                 2.0942,                0.34071,                0.38971,                 0.2671,                0.14936,                 1.6619,                 2.3501,                  2.011,               0.007525,               0.007525,               0.007525
                     27,                 1.8332,                 2.3471,                 1.9968,                0.35868,                0.39343,                0.32443,                0.19509,                 1.6098,                 2.2852,                 1.9407,               0.007426,               0.007426,               0.007426
                     28,                 1.7809,                 2.3241,                 1.9798,                0.37553,                0.39219,                0.31631,                0.18287,                 1.6111,                 2.3438,                 1.9354,               0.007327,               0.007327,               0.007327
                     29,                 1.7734,                 2.3393,                 1.9816,                 0.3322,                0.28928,                0.24865,                0.14117,                 1.7545,                 2.4316,                 2.1148,               0.007228,               0.007228,               0.007228
                     30,                 1.7988,                 2.3502,                 2.0006,                0.38012,                0.36646,                0.28468,                0.16912,                 1.6459,                 2.2827,                 1.9983,               0.007129,               0.007129,               0.007129
                     31,                 1.7433,                 2.2238,                 1.9279,                0.37499,                0.42484,                0.33972,                0.20304,                 1.5525,                 2.1852,                 1.8973,                0.00703,                0.00703,                0.00703
                     32,                 1.7144,                 2.1778,                 1.9034,                0.39117,                 0.4338,                0.37187,                0.22532,                 1.5249,                 2.0519,                 1.8599,               0.006931,               0.006931,               0.006931
                     33,                 1.7243,                 2.2447,                 1.9189,                0.40867,                0.44611,                 0.3819,                0.23393,                 1.4841,                 2.0367,                 1.8365,               0.006832,               0.006832,               0.006832
                     34,                 1.6921,                 2.1774,                 1.8949,                0.42726,                0.44883,                0.39056,                0.24313,                 1.4894,                 2.0338,                 1.8498,               0.006733,               0.006733,               0.006733
                     35,                 1.7021,                 2.1816,                 1.9052,                0.40385,                0.42961,                0.37879,                0.21955,                 1.5087,                 2.0351,                  1.837,               0.006634,               0.006634,               0.006634
